city_id,up_ad_name,up_ad_code,cityname,adcode,citycode
150626_0477,,,乌审旗,150626,0477
150627_0477,,,伊金霍洛旗,150627,0477
150700_0470,,,呼伦贝尔市,150700,0470
150702_0470,,,海拉尔区,150702,0470
150703_0470,,,扎赉诺尔区,150703,0470
150721_0470,,,阿荣旗,150721,0470
150722_0470,,,莫力达瓦达斡尔族自治旗,150722,0470
150723_0470,,,鄂伦春自治旗,150723,0470
150724_0470,,,鄂温克族自治旗,150724,0470
150725_0470,,,陈巴尔虎旗,150725,0470
150726_0470,,,新巴尔虎左旗,150726,0470
150727_0470,,,新巴尔虎右旗,150727,0470
150781_0470,,,满洲里市,150781,0470
150782_0470,,,牙克石市,150782,0470
150783_0470,,,扎兰屯市,150783,0470
150784_0470,,,额尔古纳市,150784,0470
150785_0470,,,根河市,150785,0470
150800_0478,,,巴彦淖尔市,150800,0478
150802_0478,,,临河区,150802,0478
150821_0478,,,五原县,150821,0478
150822_0478,,,磴口县,150822,0478
150823_0478,,,乌拉特前旗,150823,0478
150824_0478,,,乌拉特中旗,150824,0478
150825_0478,,,乌拉特后旗,150825,0478
150826_0478,,,杭锦后旗,150826,0478
150900_0474,,,乌兰察布市,150900,0474
150902_0474,,,集宁区,150902,0474
150921_0474,,,卓资县,150921,0474
150922_0474,,,化德县,150922,0474
150923_0474,,,商都县,150923,0474
150924_0474,,,兴和县,150924,0474
150925_0474,,,凉城县,150925,0474
150926_0474,,,察哈尔右翼前旗,150926,0474
150927_0474,,,察哈尔右翼中旗,150927,0474
150928_0474,,,察哈尔右翼后旗,150928,0474
150929_0474,,,四子王旗,150929,0474
150981_0474,,,丰镇市,150981,0474
152200_0482,,,兴安盟,152200,0482
152201_0482,,,乌兰浩特市,152201,0482
152202_0482,,,阿尔山市,152202,0482
152221_0482,,,科尔沁右翼前旗,152221,0482
152222_0482,,,科尔沁右翼中旗,152222,0482
152223_0482,,,扎赉特旗,152223,0482
152224_0482,,,突泉县,152224,0482
152500_0479,,,锡林郭勒盟,152500,0479
152501_0479,,,二连浩特市,152501,0479
152502_0479,,,锡林浩特市,152502,0479
152522_0479,,,阿巴嘎旗,152522,0479
152523_0479,,,苏尼特左旗,152523,0479
152524_0479,,,苏尼特右旗,152524,0479
152525_0479,,,东乌珠穆沁旗,152525,0479
152526_0479,,,西乌珠穆沁旗,152526,0479
152527_0479,,,太仆寺旗,152527,0479
152528_0479,,,镶黄旗,152528,0479
152529_0479,,,正镶白旗,152529,0479
152530_0479,,,正蓝旗,152530,0479
152531_0479,,,多伦县,152531,0479
152900_0483,,,阿拉善盟,152900,0483
152921_0483,,,阿拉善左旗,152921,0483
152922_0483,,,阿拉善右旗,152922,0483
152923_0483,,,额济纳旗,152923,0483
210000_\N,,,辽宁省,210000,\N
210100_024,,,沈阳市,210100,024
210102_024,,,和平区,210102,024
210103_024,,,沈河区,210103,024
210104_024,,,大东区,210104,024
210105_024,,,皇姑区,210105,024
210106_024,,,铁西区,210106,024
210111_024,,,苏家屯区,210111,024
210112_024,,,浑南区,210112,024
210113_024,,,沈北新区,210113,024
210114_024,,,于洪区,210114,024
210115_024,,,辽中区,210115,024
210123_024,,,康平县,210123,024
210124_024,,,法库县,210124,024
210181_024,,,新民市,210181,024
210200_0411,,,大连市,210200,0411
210202_0411,,,中山区,210202,0411
210203_0411,,,西岗区,210203,0411
210204_0411,,,沙河口区,210204,0411
210211_0411,,,甘井子区,210211,0411
210212_0411,,,旅顺口区,210212,0411
210213_0411,,,金州区,210213,0411
210214_0411,,,普兰店区,210214,0411
210224_0411,,,长海县,210224,0411
210281_0411,,,瓦房店市,210281,0411
210283_0411,,,庄河市,210283,0411
210300_0412,,,鞍山市,210300,0412
210302_0412,,,铁东区,210302,0412
210303_0412,,,铁西区,210303,0412
210304_0412,,,立山区,210304,0412
210311_0412,,,千山区,210311,0412
210321_0412,,,台安县,210321,0412
210323_0412,,,岫岩满族自治县,210323,0412
210381_0412,,,海城市,210381,0412
210400_0413,,,抚顺市,210400,0413
210402_0413,,,新抚区,210402,0413
210403_0413,,,东洲区,210403,0413
210404_0413,,,望花区,210404,0413
210411_0413,,,顺城区,210411,0413
210421_0413,,,抚顺县,210421,0413
210422_0413,,,新宾满族自治县,210422,0413
